,model
ENSG00000048140,sigmoid
ENSG00000053328,sigmoid
ENSG00000011347,sigmoid
ENSG00000039139,sigmoid
ENSG00000067057,sigmoid
ENSG00000022277,sigmoid
ENSG00000013297,sigmoid
ENSG00000041802,sigmoid
ENSG00000074266,sigmoid
ENSG00000065534,sigmoid
ENSG00000022976,sigmoid
ENSG00000075643,sigmoid
ENSG00000046604,sigmoid
ENSG00000053747,sigmoid
ENSG00000070019,sigmoid
ENSG00000018610,sigmoid
ENSG00000055950,sigmoid
ENSG00000002549,sigmoid
ENSG00000072849,sigmoid
ENSG00000081692,sigmoid
ENSG00000067066,sigmoid
ENSG00000007216,sigmoid
ENSG00000062194,sigmoid
ENSG00000010704,sigmoid
ENSG00000065600,sigmoid
ENSG00000076242,sigmoid
ENSG00000065883,sigmoid
ENSG00000091138,sigmoid
ENSG00000042445,sigmoid
ENSG00000070831,sigmoid
ENSG00000071575,sigmoid
ENSG00000069764,sigmoid
ENSG00000074695,sigmoid
ENSG00000055813,sigmoid
ENSG00000007372,sigmoid
ENSG00000078142,sigmoid
ENSG00000006468,sigmoid
ENSG00000089820,sigmoid
ENSG00000005448,sigmoid
ENSG00000025800,sigmoid
ENSG00000060140,sigmoid
ENSG00000064115,sigmoid
ENSG00000001460,sigmoid
ENSG00000087460,sigmoid
ENSG00000080986,sigmoid
ENSG00000068001,sigmoid
ENSG00000008283,sigmoid
ENSG00000051108,sigmoid
ENSG00000090661,sigmoid
ENSG00000089022,sigmoid
ENSG00000057294,sigmoid
ENSG00000043591,sigmoid
ENSG00000019485,sigmoid
ENSG00000066427,sigmoid
ENSG00000067900,sigmoid
ENSG00000076706,sigmoid
ENSG00000025423,sigmoid
ENSG00000087586,sigmoid
ENSG00000088340,sigmoid
ENSG00000088448,sigmoid
ENSG00000095203,sigmoid
ENSG00000090382,sigmoid
ENSG00000043355,sigmoid
ENSG00000095637,sigmoid
ENSG00000038210,sigmoid
ENSG00000081177,sigmoid
ENSG00000071537,sigmoid
ENSG00000004897,sigmoid
ENSG00000070367,sigmoid
ENSG00000068745,sigmoid
ENSG00000028203,sigmoid
ENSG00000054118,sigmoid
ENSG00000063854,sigmoid
ENSG00000049247,sigmoid
ENSG00000076053,sigmoid
ENSG00000077348,sigmoid
ENSG00000042980,sigmoid
ENSG00000076554,sigmoid
ENSG00000020577,sigmoid
ENSG00000037637,sigmoid
ENSG00000082684,sigmoid
ENSG00000026508,sigmoid
ENSG00000096968,sigmoid
ENSG00000064726,sigmoid
ENSG00000093010,sigmoid
ENSG00000064601,sigmoid
ENSG00000089159,sigmoid
ENSG00000015676,sigmoid
ENSG00000077684,sigmoid
ENSG00000066629,sigmoid
ENSG00000088356,sigmoid
ENSG00000036672,sigmoid
ENSG00000092036,sigmoid
ENSG00000049130,sigmoid
ENSG00000092148,sigmoid
ENSG00000078043,sigmoid
ENSG00000054965,sigmoid
ENSG00000050393,sigmoid
ENSG00000040633,sigmoid
ENSG00000029993,sigmoid
ENSG00000084070,sigmoid
ENSG00000013375,sigmoid
ENSG00000091542,sigmoid
ENSG00000056972,sigmoid
ENSG00000091140,sigmoid
ENSG00000083168,sigmoid
ENSG00000081803,sigmoid
ENSG00000079691,sigmoid
ENSG00000060566,sigmoid
ENSG00000091073,sigmoid
ENSG00000083635,sigmoid
ENSG00000075407,sigmoid
ENSG00000085741,sigmoid
ENSG00000083720,sigmoid
ENSG00000099337,sigmoid
ENSG00000092010,sigmoid
ENSG00000099139,sigmoid
ENSG00000069974,sigmoid
ENSG00000068724,sigmoid
ENSG00000097046,sigmoid
ENSG00000033800,sigmoid
ENSG00000008513,sigmoid
ENSG00000085832,sigmoid
ENSG00000044574,sigmoid
ENSG00000086548,sigmoid
ENSG00000011007,sigmoid
ENSG00000065911,sigmoid
ENSG00000050165,sigmoid
ENSG00000010810,sigmoid
ENSG00000068784,sigmoid
ENSG00000093183,sigmoid
ENSG00000007062,sigmoid
ENSG00000067225,sigmoid
ENSG00000074706,sigmoid
ENSG00000053108,sigmoid
ENSG00000018189,sigmoid
ENSG00000065802,sigmoid
ENSG00000073849,sigmoid
ENSG00000087302,sigmoid
ENSG00000079335,sigmoid
ENSG00000056050,sigmoid
ENSG00000021355,sigmoid
ENSG00000074410,sigmoid
ENSG00000050130,sigmoid
ENSG00000092820,sigmoid
ENSG00000022267,sigmoid
ENSG00000007384,sigmoid
ENSG00000066735,sigmoid
ENSG00000081277,sigmoid
ENSG00000014824,sigmoid
ENSG00000030110,sigmoid
ENSG00000005700,sigmoid
ENSG00000039987,sigmoid
ENSG00000082458,sigmoid
ENSG00000021300,sigmoid
ENSG00000089248,sigmoid
ENSG00000080189,sigmoid
ENSG00000005059,sigmoid
ENSG00000065923,sigmoid
ENSG00000099282,sigmoid
ENSG00000001497,sigmoid
ENSG00000072952,sigmoid
ENSG00000095777,sigmoid
ENSG00000044524,sigmoid
ENSG00000084731,sigmoid
ENSG00000011422,sigmoid
ENSG00000092470,sigmoid
ENSG00000085644,sigmoid
ENSG00000079308,sigmoid
ENSG00000029153,sigmoid
ENSG00000070731,sigmoid
ENSG00000078699,sigmoid
ENSG00000072609,sigmoid
ENSG00000010438,sigmoid
ENSG00000070081,sigmoid
ENSG00000020256,sigmoid
ENSG00000057593,sigmoid
ENSG00000072163,sigmoid
ENSG00000085415,sigmoid
ENSG00000012963,sigmoid
ENSG00000004059,sigmoid
ENSG00000041353,sigmoid
ENSG00000033170,sigmoid
ENSG00000003393,sigmoid
ENSG00000084674,sigmoid
ENSG00000069956,sigmoid
ENSG00000069493,sigmoid
ENSG00000075223,sigmoid
ENSG00000057468,sigmoid
ENSG00000095397,sigmoid
ENSG00000014164,sigmoid
ENSG00000028528,sigmoid
ENSG00000085382,sigmoid
ENSG00000065150,sigmoid
ENSG00000044459,sigmoid
ENSG00000089775,sigmoid
ENSG00000075461,sigmoid
ENSG00000079134,sigmoid
