,discarded,sigmoid,continuous
0,ENSG00000237686,ENSG00000130589,ENSG00000087085
1,ENSG00000169026,ENSG00000184164,ENSG00000125352
2,ENSG00000205978,ENSG00000225850,ENSG00000154102
3,ENSG00000231530,ENSG00000171222,ENSG00000231389
4,ENSG00000161082,ENSG00000260388,ENSG00000183831
5,ENSG00000170382,ENSG00000169689,ENSG00000204257
6,ENSG00000053770,ENSG00000227542,ENSG00000274092
7,ENSG00000267898,ENSG00000223865,ENSG00000273837
8,ENSG00000094755,ENSG00000162852,ENSG00000253649
9,ENSG00000214290,ENSG00000198225,ENSG00000101346
10,ENSG00000275734,ENSG00000172167,ENSG00000128283
11,ENSG00000054793,ENSG00000156504,ENSG00000123870
12,ENSG00000149679,ENSG00000226491,ENSG00000217241
13,ENSG00000278338,ENSG00000196741,ENSG00000272567
14,ENSG00000253676,ENSG00000138621,ENSG00000138028
15,ENSG00000228328,ENSG00000145331,ENSG00000180938
16,,ENSG00000120526,ENSG00000210112
17,,ENSG00000255062,ENSG00000139289
18,,ENSG00000198464,ENSG00000131379
19,,ENSG00000228526,ENSG00000107537
20,,ENSG00000124762,ENSG00000230870
21,,ENSG00000212371,ENSG00000142583
22,,ENSG00000213385,ENSG00000064195
23,,ENSG00000005893,ENSG00000232874
24,,ENSG00000188542,ENSG00000176268
25,,ENSG00000165376,ENSG00000174365
26,,ENSG00000180914,ENSG00000078401
27,,ENSG00000091844,ENSG00000158292
28,,ENSG00000263846,ENSG00000111666
29,,ENSG00000276957,ENSG00000089558
30,,ENSG00000227782,ENSG00000088305
31,,ENSG00000072210,ENSG00000071889
32,,ENSG00000101997,ENSG00000243710
33,,ENSG00000247400,ENSG00000026103
34,,ENSG00000279259,ENSG00000213062
35,,ENSG00000259032,ENSG00000244242
36,,ENSG00000108953,ENSG00000178467
37,,ENSG00000111845,ENSG00000160224
38,,ENSG00000235781,ENSG00000168769
39,,ENSG00000273344,ENSG00000214711
40,,ENSG00000275074,ENSG00000203876
41,,ENSG00000188365,ENSG00000127870
42,,ENSG00000078177,ENSG00000275793
43,,ENSG00000270890,ENSG00000124299
44,,ENSG00000240616,ENSG00000197296
45,,ENSG00000254682,ENSG00000253716
46,,ENSG00000106031,ENSG00000141574
47,,ENSG00000256222,ENSG00000124193
48,,ENSG00000163053,ENSG00000258521
49,,ENSG00000234118,ENSG00000276791
50,,ENSG00000243056,ENSG00000115297
51,,ENSG00000170485,ENSG00000162998
52,,ENSG00000241269,ENSG00000101350
53,,ENSG00000275202,ENSG00000256050
54,,ENSG00000170791,ENSG00000101413
55,,ENSG00000259659,ENSG00000233111
56,,ENSG00000142875,ENSG00000279459
57,,ENSG00000140368,ENSG00000276571
58,,ENSG00000270503,ENSG00000023445
59,,ENSG00000197444,ENSG00000104341
60,,ENSG00000188828,ENSG00000251400
61,,ENSG00000141579,ENSG00000279345
62,,ENSG00000260618,ENSG00000262370
63,,ENSG00000234062,ENSG00000248278
64,,ENSG00000226833,ENSG00000272030
65,,ENSG00000272625,ENSG00000147164
66,,ENSG00000158578,ENSG00000109625
67,,ENSG00000154832,ENSG00000275236
68,,ENSG00000279225,ENSG00000187595
69,,ENSG00000181234,ENSG00000214297
70,,ENSG00000172164,ENSG00000272024
71,,ENSG00000104808,ENSG00000235505
72,,ENSG00000182957,ENSG00000134508
73,,ENSG00000243904,ENSG00000261575
74,,ENSG00000100979,ENSG00000122862
75,,ENSG00000232369,ENSG00000269388
76,,ENSG00000235043,ENSG00000272282
77,,ENSG00000210077,ENSG00000248787
78,,ENSG00000197766,ENSG00000146216
79,,ENSG00000138031,ENSG00000124228
80,,ENSG00000087086,ENSG00000250208
81,,ENSG00000187630,ENSG00000122035
82,,ENSG00000275512,ENSG00000185825
83,,ENSG00000166913,ENSG00000167996
84,,ENSG00000096070,ENSG00000241258
85,,ENSG00000134440,ENSG00000064652
86,,ENSG00000258365,ENSG00000181418
87,,ENSG00000161920,ENSG00000228150
88,,ENSG00000226624,ENSG00000184530
89,,ENSG00000249306,ENSG00000267288
90,,ENSG00000198780,ENSG00000226937
91,,ENSG00000166595,ENSG00000239908
92,,ENSG00000176343,ENSG00000106069
93,,ENSG00000122042,ENSG00000228889
94,,ENSG00000012211,ENSG00000125970
95,,ENSG00000074855,ENSG00000272556
96,,ENSG00000217258,ENSG00000143226
97,,ENSG00000185624,ENSG00000176490
98,,ENSG00000203326,ENSG00000128045
99,,ENSG00000189077,ENSG00000196126
100,,ENSG00000123178,ENSG00000099937
101,,ENSG00000101109,ENSG00000245293
102,,ENSG00000044574,ENSG00000246223
103,,ENSG00000177854,ENSG00000236281
104,,ENSG00000171858,ENSG00000278330
105,,ENSG00000100600,ENSG00000248690
106,,,ENSG00000143367
107,,,ENSG00000230753
108,,,ENSG00000185674
109,,,ENSG00000172986
110,,,ENSG00000221887
111,,,ENSG00000214846
112,,,ENSG00000260727
113,,,ENSG00000100612
114,,,ENSG00000268970
115,,,ENSG00000146054
116,,,ENSG00000225163
117,,,ENSG00000177173
118,,,ENSG00000271133
119,,,ENSG00000154122
120,,,ENSG00000197122
121,,,ENSG00000103876
122,,,ENSG00000242299
123,,,ENSG00000120217
124,,,ENSG00000122432
125,,,ENSG00000025772
126,,,ENSG00000034533
127,,,ENSG00000233122
128,,,ENSG00000160293
129,,,ENSG00000215349
130,,,ENSG00000213058
131,,,ENSG00000077348
132,,,ENSG00000118939
133,,,ENSG00000225194
134,,,ENSG00000126005
135,,,ENSG00000229178
136,,,ENSG00000260442
137,,,ENSG00000101916
138,,,ENSG00000147223
139,,,ENSG00000197124
140,,,ENSG00000133985
141,,,ENSG00000198276
142,,,ENSG00000236833
143,,,ENSG00000134817
144,,,ENSG00000167562
145,,,ENSG00000256045
146,,,ENSG00000185105
147,,,ENSG00000230626
148,,,ENSG00000068784
149,,,ENSG00000129538
150,,,ENSG00000185404
151,,,ENSG00000174502
152,,,ENSG00000217624
153,,,ENSG00000184368
154,,,ENSG00000171928
155,,,ENSG00000163995
156,,,ENSG00000110195
157,,,ENSG00000175344
158,,,ENSG00000196756
159,,,ENSG00000101470
160,,,ENSG00000198521
161,,,ENSG00000177409
162,,,ENSG00000085465
163,,,ENSG00000244198
164,,,ENSG00000110080
165,,,ENSG00000101337
166,,,ENSG00000228205
167,,,ENSG00000228801
168,,,ENSG00000181690
169,,,ENSG00000244005
170,,,ENSG00000242372
171,,,ENSG00000189280
172,,,ENSG00000184979
173,,,ENSG00000236772
174,,,ENSG00000272754
175,,,ENSG00000134444
176,,,ENSG00000162746
177,,,ENSG00000257616
178,,,ENSG00000197208
179,,,ENSG00000101639
180,,,ENSG00000141429
181,,,ENSG00000069493
182,,,ENSG00000246705
183,,,ENSG00000101294
184,,,ENSG00000152234
185,,,ENSG00000170471
186,,,ENSG00000250461
187,,,ENSG00000101187
188,,,ENSG00000163584
189,,,ENSG00000148734
190,,,ENSG00000085741
191,,,ENSG00000205181
192,,,ENSG00000197818
193,,,ENSG00000181392
194,,,ENSG00000278576
195,,,ENSG00000168060
196,,,ENSG00000170677
197,,,ENSG00000197971
198,,,ENSG00000220472
199,,,ENSG00000182366
200,,,ENSG00000250329
201,,,ENSG00000250568
202,,,ENSG00000231133
203,,,ENSG00000116017
204,,,ENSG00000168243
205,,,ENSG00000214192
206,,,ENSG00000272945
207,,,ENSG00000198881
208,,,ENSG00000256356
209,,,ENSG00000066735
210,,,ENSG00000255650
211,,,ENSG00000250829
212,,,ENSG00000179057
213,,,ENSG00000272382
214,,,ENSG00000261438
215,,,ENSG00000115919
216,,,ENSG00000203995
217,,,ENSG00000164920
218,,,ENSG00000127989
219,,,ENSG00000164867
220,,,ENSG00000126264
221,,,ENSG00000129521
222,,,ENSG00000184988
223,,,ENSG00000168631
224,,,ENSG00000275223
225,,,ENSG00000259456
226,,,ENSG00000250548
227,,,ENSG00000134758
228,,,ENSG00000132199
229,,,ENSG00000169253
230,,,ENSG00000164591
231,,,ENSG00000130699
232,,,ENSG00000145949
233,,,ENSG00000242028
234,,,ENSG00000257176
235,,,ENSG00000141179
236,,,ENSG00000101193
237,,,ENSG00000188883
238,,,ENSG00000226284
239,,,ENSG00000249574
240,,,ENSG00000126218
241,,,ENSG00000223685
242,,,ENSG00000138074
243,,,ENSG00000197406
244,,,ENSG00000171291
245,,,ENSG00000259321
246,,,ENSG00000213363
247,,,ENSG00000000460
248,,,ENSG00000101473
249,,,ENSG00000119915
250,,,ENSG00000136040
251,,,ENSG00000124226
252,,,ENSG00000101391
253,,,ENSG00000261455
254,,,ENSG00000213988
255,,,ENSG00000101782
256,,,ENSG00000221944
257,,,ENSG00000163071
258,,,ENSG00000101574
259,,,ENSG00000130826
260,,,ENSG00000251667
261,,,ENSG00000223534
262,,,ENSG00000100593
263,,,ENSG00000114854
264,,,ENSG00000180758
265,,,ENSG00000270170
266,,,ENSG00000164626
267,,,ENSG00000198346
268,,,ENSG00000206573
269,,,ENSG00000072609
270,,,ENSG00000160951
271,,,ENSG00000251333
272,,,ENSG00000272523
273,,,ENSG00000225187
274,,,ENSG00000134882
275,,,ENSG00000172456
276,,,ENSG00000181652
277,,,ENSG00000171552
278,,,ENSG00000278356
279,,,ENSG00000181291
280,,,ENSG00000233503
281,,,ENSG00000214578
282,,,ENSG00000104756
283,,,ENSG00000177721
284,,,ENSG00000101084
285,,,ENSG00000101444
286,,,ENSG00000033170
287,,,ENSG00000125991
288,,,ENSG00000181781
289,,,ENSG00000100427
290,,,ENSG00000112773
291,,,ENSG00000153071
292,,,ENSG00000162946
293,,,ENSG00000101138
294,,,ENSG00000101442
295,,,ENSG00000177738
296,,,ENSG00000130703
297,,,ENSG00000125967
298,,,ENSG00000204177
299,,,ENSG00000168612
300,,,ENSG00000185339
301,,,ENSG00000141642
302,,,ENSG00000197757
303,,,ENSG00000204420
304,,,ENSG00000142609
305,,,ENSG00000219891
306,,,ENSG00000102738
307,,,ENSG00000230330
308,,,ENSG00000100991
309,,,ENSG00000100336
310,,,ENSG00000224415
311,,,ENSG00000198133
312,,,ENSG00000154889
313,,,ENSG00000197183
314,,,ENSG00000081277
315,,,ENSG00000145416
316,,,ENSG00000088367
317,,,ENSG00000247271
318,,,ENSG00000245970
319,,,ENSG00000213799
320,,,ENSG00000240634
321,,,ENSG00000105261
322,,,ENSG00000156170
323,,,ENSG00000234450
324,,,ENSG00000171044
325,,,ENSG00000118705
326,,,ENSG00000174332
327,,,ENSG00000188825
328,,,ENSG00000125995
329,,,ENSG00000270116
330,,,ENSG00000134049
331,,,ENSG00000174130
332,,,ENSG00000143412
333,,,ENSG00000101898
334,,,ENSG00000204386
335,,,ENSG00000258900
336,,,ENSG00000240652
337,,,ENSG00000262136
338,,,ENSG00000147454
339,,,ENSG00000166106
340,,,ENSG00000111110
341,,,ENSG00000182648
342,,,ENSG00000189377
343,,,ENSG00000148488
344,,,ENSG00000103126
345,,,ENSG00000020256
346,,,ENSG00000242814
347,,,ENSG00000125657
348,,,ENSG00000154310
349,,,ENSG00000167065
350,,,ENSG00000070031
351,,,ENSG00000183914
352,,,ENSG00000170011
353,,,ENSG00000238249
354,,,ENSG00000124217
355,,,ENSG00000133134
356,,,ENSG00000167207
357,,,ENSG00000139318
358,,,ENSG00000132801
359,,,ENSG00000265943
360,,,ENSG00000276672
361,,,ENSG00000178093
362,,,ENSG00000101773
363,,,ENSG00000124780
364,,,ENSG00000138100
365,,,ENSG00000272473
366,,,ENSG00000128683
367,,,ENSG00000276867
368,,,ENSG00000151575
369,,,ENSG00000182240
370,,,ENSG00000164627
371,,,ENSG00000280083
372,,,ENSG00000078699
373,,,ENSG00000213339
374,,,ENSG00000125534
375,,,ENSG00000101333
376,,,ENSG00000260290
377,,,ENSG00000111203
378,,,ENSG00000254503
379,,,ENSG00000213315
380,,,ENSG00000080189
381,,,ENSG00000197291
382,,,ENSG00000213621
383,,,ENSG00000124155
384,,,ENSG00000151790
385,,,ENSG00000175832
386,,,ENSG00000240499
