,microbe,metabolite,pearson,p-pearson,spearman,p-spearman,genus,q-value
1,Coprobacter_fastidiosus,S-adenosylhomocysteine (SAH),0.6531197173373011,0.07908320669388942,0.7545045450053531,0.03051275903330906,Coprobacter,0.15774963544591727
2,Cupriavidus_metallidurans,S-adenosylhomocysteine (SAH),0.7751128895145849,0.02385364016182985,0.9047619047619048,0.0020082755054294677,Cupriavidus,0.09174476985319173
3,Acinetobacter_junii,S-adenosylhomocysteine (SAH),-0.6386000317870606,0.08833244064045151,-0.6666666666666669,0.07098765432098751,Acinetobacter,0.1635785937786139
4,Lactobacillus_mucosae,S-adenosylhomocysteine (SAH),0.7066073269405473,0.0500597127693005,0.5509080804800991,0.15701842199789115,Lactobacillus,0.1317360862350013
5,Corynebacterium_propinquum,S-adenosylhomocysteine (SAH),0.680089553090942,0.06346897330215161,0.8742671711966791,0.004512385603651026,Corynebacterium,0.14343967310698258
6,Coprobacter_fastidiosus,stearate (18:0),0.407687363102173,0.31606437166921514,0.4790505047653036,0.22974054535741797,Coprobacter,0.3392249525690611
7,Cupriavidus_metallidurans,stearate (18:0),0.5542851050745594,0.15396314082475587,0.6666666666666669,0.07098765432098751,Cupriavidus,0.2090263345360342
8,Acinetobacter_junii,stearate (18:0),-0.5181896840570405,0.18831387329809485,-0.4285714285714286,0.2894032248467901,Acinetobacter,0.23695849841947997
9,Lactobacillus_mucosae,stearate (18:0),0.4055384001406667,0.3188714554149174,0.26347777762091695,0.5283664705769091,Lactobacillus,0.3392249525690611
10,Corynebacterium_propinquum,stearate (18:0),0.7363820395840345,0.03722210843548257,0.7185757571479554,0.04462261002441918,Corynebacterium,0.1094767895161252
11,Coprobacter_fastidiosus,spermine,0.38190696741813746,0.3505056234415226,0.5988131309566295,0.11675354405796776,Coprobacter,0.3651100244182527
12,Cupriavidus_metallidurans,spermine,0.5018694655702501,0.20506446476692683,0.523809523809524,0.18272075053971484,Cupriavidus,0.24412436281777006
13,Acinetobacter_junii,spermine,-0.5678833835454847,0.14199301702377876,-0.523809523809524,0.18272075053971484,Acinetobacter,0.20420969385191387
14,Lactobacillus_mucosae,spermine,0.5995568203436393,0.11618064481256526,0.4910267673844361,0.21660820414021398,Lactobacillus,0.17603128001903828
15,Corynebacterium_propinquum,spermine,0.6028864035059404,0.11363523673280539,0.5868368683374969,0.12619898553608927,Corynebacterium,0.17603128001903828
16,Coprobacter_fastidiosus,adenosine,0.6825668534408088,0.06213553539319994,0.6467181814331598,0.08308772479827897,Coprobacter,0.14343967310698258
17,Cupriavidus_metallidurans,adenosine,0.7670976670803681,0.02632365373101911,0.7142857142857144,0.04652823228416724,Cupriavidus,0.09401304903935395
18,Acinetobacter_junii,adenosine,-0.7557614217528447,0.030077472692515893,-0.6904761904761906,0.057990318164572716,Acinetobacter,0.10025824230838631
19,Lactobacillus_mucosae,adenosine,0.6166034439700424,0.10348498241397466,0.5149792926227014,0.19154931341586592,Lactobacillus,0.16875616368427704
20,Corynebacterium_propinquum,adenosine,0.8885979879098765,0.00317401117704124,0.8503146459584139,0.007471414639953453,Corynebacterium,0.0396751397130155
21,Coprobacter_fastidiosus,erucate (22:1n9),0.6280954890956332,0.09539641247582324,0.5868368683374969,0.12619898553608927,Coprobacter,0.1656031774130643
22,Cupriavidus_metallidurans,erucate (22:1n9),0.7454093110865904,0.03377804340686122,0.523809523809524,0.18272075053971484,Cupriavidus,0.1055563856464413
23,Acinetobacter_junii,erucate (22:1n9),-0.8668656371393928,0.00532605776148616,-0.7380952380952381,0.03655276105286081,Acinetobacter,0.05220800390065198
24,Lactobacillus_mucosae,erucate (22:1n9),0.721173945513278,0.04349184864837601,0.5149792926227014,0.19154931341586592,Lactobacillus,0.12081069068993337
25,Corynebacterium_propinquum,erucate (22:1n9),0.9406112668478849,0.0005006156332365983,0.670670706671425,0.06869274160505996,Corynebacterium,0.025030781661829916
26,Coprobacter_fastidiosus,citrate,0.6517361624470932,0.07993892841769107,0.7664808076244857,0.026520014304076595,Coprobacter,0.15774963544591727
27,Cupriavidus_metallidurans,citrate,0.8015166757210366,0.016753928109370524,0.8571428571428572,0.006530017254715292,Cupriavidus,0.07615421867895693
28,Acinetobacter_junii,citrate,-0.682584333710209,0.06212618609104012,-0.6666666666666669,0.07098765432098751,Acinetobacter,0.14343967310698258
29,Lactobacillus_mucosae,citrate,0.6483915293874306,0.08202981043187699,0.5628843430992317,0.14633153260555043,Lactobacillus,0.15774963544591727
30,Corynebacterium_propinquum,citrate,0.8591778874656348,0.006264960468078238,0.8982196964349441,0.002438796796382353,Corynebacterium,0.05220800390065198
31,Coprobacter_fastidiosus,butyrylcarnitine (C4),0.7835707071444215,0.021408824538427875,0.730552019767088,0.039555627904297515,Coprobacter,0.08920343557678281
32,Cupriavidus_metallidurans,butyrylcarnitine (C4),0.8888058818694081,0.003156786728796485,0.8333333333333335,0.01017554012345675,Cupriavidus,0.0396751397130155
33,Acinetobacter_junii,butyrylcarnitine (C4),-0.8093628196551497,0.014938554770780514,-0.880952380952381,0.0038503204637324014,Acinetobacter,0.07469277385390256
34,Lactobacillus_mucosae,butyrylcarnitine (C4),0.8100379463848512,0.014788421817078757,0.5988131309566295,0.11675354405796776,Lactobacillus,0.07469277385390256
35,Corynebacterium_propinquum,butyrylcarnitine (C4),0.8197968128617054,0.012723487402368073,0.8982196964349441,0.002438796796382353,Corynebacterium,0.07469277385390256
36,Coprobacter_fastidiosus,propionylcarnitine (C3),0.35359461392096175,0.39019933197204404,0.6347419188140272,0.09089043638915881,Coprobacter,0.39019933197204404
37,Cupriavidus_metallidurans,propionylcarnitine (C3),0.4297877916104729,0.28788534640100205,0.5952380952380953,0.11952980613879259,Cupriavidus,0.3198726071122245
38,Acinetobacter_junii,propionylcarnitine (C3),-0.45807350965771665,0.2536966651438774,-0.6428571428571429,0.08555889101267318,Acinetobacter,0.29499612226032257
39,Lactobacillus_mucosae,propionylcarnitine (C3),0.37497926757416256,0.3600407638807241,0.45509797952703834,0.25719208545877226,Lactobacillus,0.36738853457216747
40,Corynebacterium_propinquum,propionylcarnitine (C3),0.43903554382877485,0.2764728178179782,0.6826469692905576,0.06209269238231715,Corynebacterium,0.3141736566113389
41,Coprobacter_fastidiosus,eicosenoate (20:1),0.5488898745397267,0.158860014247386,0.467074242146171,0.24326991663399547,Coprobacter,0.2090263345360342
42,Cupriavidus_metallidurans,eicosenoate (20:1),0.6755028850404453,0.065982249629212,0.5714285714285715,0.1389599571607067,Cupriavidus,0.14343967310698258
43,Acinetobacter_junii,eicosenoate (20:1),-0.815720529710091,0.01356225730744752,-0.6904761904761906,0.057990318164572716,Acinetobacter,0.07469277385390256
44,Lactobacillus_mucosae,eicosenoate (20:1),0.6271468055234188,0.09604984289957728,0.3233590907165799,0.4346394485508573,Lactobacillus,0.1656031774130643
45,Corynebacterium_propinquum,eicosenoate (20:1),0.8956373621994937,0.002623898516059978,0.7185757571479554,0.04462261002441918,Corynebacterium,0.0396751397130155
46,Coprobacter_fastidiosus,oleate/vaccenate (18:1),0.5122666046810377,0.19430596870397357,0.5628843430992317,0.14633153260555043,Coprobacter,0.23695849841947997
47,Cupriavidus_metallidurans,oleate/vaccenate (18:1),0.5667772494277482,0.1429467856963397,0.523809523809524,0.18272075053971484,Cupriavidus,0.20420969385191387
48,Acinetobacter_junii,oleate/vaccenate (18:1),-0.6150203955380291,0.10462882148425176,-0.6904761904761906,0.057990318164572716,Acinetobacter,0.16875616368427704
49,Lactobacillus_mucosae,oleate/vaccenate (18:1),0.5157884554057685,0.19073107813889956,0.4191691916696407,0.3012666326633443,Lactobacillus,0.23695849841947997
50,Corynebacterium_propinquum,oleate/vaccenate (18:1),0.5516467303767183,0.15634734134788508,0.6467181814331598,0.08308772479827897,Corynebacterium,0.2090263345360342
