,species,genus
487174,Barnesiella_intestinihominis,Barnesiella
487173,Dialister_succinatiphilus,Dialister
28446,[Clostridium]_propionicum,[Clostridium]
28450,Burkholderia_pseudomallei,Burkholderia
77635,Bifidobacterium_subtile,Bifidobacterium
487316,Acinetobacter_soli,Acinetobacter
339862,Desulfosporosinus_youngiae,Desulfosporosinus
257984,Glutamicibacter_mysorens,Glutamicibacter
225324,Enhydrobacter_aerosaccus,Enhydrobacter
471189,Gordonibacter_pamelaeae,Gordonibacter
61624,Paenibacillus_mucilaginosus,Paenibacillus
45254,Dysgonomonas_capnocytophagoides,Dysgonomonas
28901,Salmonella_enterica,Salmonella
487698,Stenotrophomonas_pavanii,Stenotrophomonas
291112,Photorhabdus_asymbiotica,Photorhabdus
1126833,Paenibacillus_beijingensis,Paenibacillus
111015,Actinomyces_radicidentis,Actinomyces
78259,Scardovia_inopinata,Scardovia
78258,Parascardovia_denticolens,Parascardovia
324057,Paenibacillus_sp._JDR-2,Paenibacillus
160386,Corynebacterium_casei,Corynebacterium
29341,Clostridium_argentinense,Clostridium
504487,Jejuia_pallidilutea,Jejuia
29346,[Clostridium]_paradoxum,[Clostridium]
29347,[Clostridium]_scindens,[Clostridium]
29348,[Clostridium]_spiroforme,[Clostridium]
29354,[Clostridium]_celerecrescens,[Clostridium]
29360,Cellulosilyticum_lentocellum,Cellulosilyticum
29361,Tyzzerella_nexilis,Tyzzerella
29367,Clostridium_puniceum,Clostridium
225991,Comamonas_aquatica,Comamonas
225992,Comamonas_kerstersii,Comamonas
29430,Acinetobacter_haemolyticus,Acinetobacter
78587,Asticcacaulis_excentricus,Asticcacaulis
29448,Bradyrhizobium_elkanii,Bradyrhizobium
45851,Butyrivibrio_crossotus,Butyrivibrio
29488,Photorhabdus_luminescens,Photorhabdus
291644,Bacteroides_salyersiae,Bacteroides
570161,Marinifilum_fragile,Marinifilum
291645,Bacteroides_nordii,Bacteroides
29533,Flavobacterium_pectinovorum,Flavobacterium
29536,Flavobacterium_succinicans,Flavobacterium
62322,Shewanella_baltica,Shewanella
29581,Janthinobacterium_lividum,Janthinobacterium
357276,Bacteroides_dorei,Bacteroides
488447,Burkholderia_contaminans,Burkholderia
242750,Prevotella_bergensis,Prevotella
1586267,Apibacter_mensalis,Apibacter
46206,Pseudobutyrivibrio_ruminis,Pseudobutyrivibrio
291990,Thermosediminibacter_oceani,Thermosediminibacter
46228,Ruminococcus_lactaris,Ruminococcus
341220,Lactonifactor_longoviformis,Lactonifactor
341225,[Clostridium]_saccharogumia,[Clostridium]
13689,Sphingomonas_paucimobilis,Sphingomonas
13690,Sphingobium_yanoikuyae,Sphingobium
652716,Prevotella_sp._oral_taxon_299,Prevotella
46503,Parabacteroides_merdae,Parabacteroides
46506,Bacteroides_stercoris,Bacteroides
259537,Dechloromonas_aromatica,Dechloromonas
882211,Pseudomonas_deceptionensis,Pseudomonas
161360,Planococcus_antarcticus,Planococcus
341694,Peptostreptococcus_stomatis,Peptostreptococcus
177972,Shuttleworthia_satelles,Shuttleworthia
358220,Acidovorax_sp._KKS102,Acidovorax
1144673,Acinetobacter_sp._CIP_64.7,Acinetobacter
587753,Pseudomonas_chlororaphis,Pseudomonas
79885,Bacillus_pseudofirmus,Bacillus
161879,Corynebacterium_kroppenstedtii,Corynebacterium
161896,Corynebacterium_camporealensis,Corynebacterium
63612,Sodalis_glossinidius,Sodalis
47246,[Clostridium]_viride,[Clostridium]
243924,Pseudomonas_lutea,Pseudomonas
63745,Sideroxydans_lithotrophicus,Sideroxydans
194867,Sphingomonas_sp._ATCC_31555,Sphingomonas
1603886,Bifidobacterium_lemurum,Bifidobacterium
555313,Phocaeicola_abscessus,Phocaeicola
358743,[Clostridium]_citroniae,[Clostridium]
407975,Prevotella_pleuritidis,Prevotella
47671,Lautropia_mirabilis,Lautropia
47678,Bacteroides_caccae,Bacteroides
47679,Sporomusa_sphaeroides,Sporomusa
457412,Ruminococcus_sp._5_1_39BFAA,Ruminococcus
457421,Clostridiales_bacterium_1_7_47FAA,Clostridiales
47877,Pseudomonas_amygdali,Pseudomonas
47879,Pseudomonas_corrugata,Pseudomonas
47880,Pseudomonas_fulva,Pseudomonas
47884,Pseudomonas_taetrolens,Pseudomonas
47885,Pseudomonas_oryzihabitans,Pseudomonas
457502,Polaromonas_jejuensis,Polaromonas
80866,Delftia_acidovorans,Delftia
97253,Eubacterium_plexicaudatum,Eubacterium
359408,Methylotenera_mobilis,Methylotenera
310300,Bacteroides_pyogenes,Bacteroides
310297,Bacteroides_plebeius,Bacteroides
310298,Bacteroides_coprocola,Bacteroides
1391653,Vulgatibacter_incomptus,Vulgatibacter
588932,Brevundimonas_naejangsanensis,Brevundimonas
31909,Halothermothrix_orenii,Halothermothrix
48296,Acinetobacter_pittii,Acinetobacter
261299,Intestinibacter_bartlettii,Intestinibacter
261302,Paraburkholderia_phytofirmans,Paraburkholderia
392413,Deinococcus_misasensis,Deinococcus
310514,Prevotella_multisaccharivorax,Prevotella
228603,Prevotella_shahii,Prevotella
31998,Methylobacterium_radiotolerans,Methylobacterium
228604,Prevotella_salivae,Prevotella
32013,Comamonas_terrigena,Comamonas
195907,Gillisia_limnaea,Gillisia
179628,Clostridium_colicanis,Clostridium
146939,Azospira_oryzae,Azospira
327160,Candidatus_Accumulibacter_phosphatis,Candidatus
81408,Parageobacillus_caldoxylosilyticus,Parageobacillus
65058,Corynebacterium_ulcerans,Corynebacterium
81475,Frateuria_aurantia,Frateuria
589436,Prevotella_fusca,Prevotella
589437,Prevotella_scopos,Prevotella
638619,Bifidobacterium_actinocoloniiforme,Bifidobacterium
589537,Prevotella_dentasini,Prevotella
147206,Collinsella_stercoris,Collinsella
147207,Collinsella_intestinalis,Collinsella
48935,Novosphingobium_aromaticivorans,Novosphingobium
48936,Novosphingobium_subterraneum,Novosphingobium
294710,Proteiniphilum_acetatigenes,Proteiniphilum
163665,Dysgonomonas_mossii,Dysgonomonas
114615,Bradyrhizobium_sp._ORS_278,Bradyrhizobium
884684,Mageeibacillus_indolicus,Mageeibacillus
1097668,Burkholderia_sp._YI23,Burkholderia
376805,Bacteroides_salanitronis,Bacteroides
192,Azospirillum_brasilense,Azospirillum
193,Azospirillum_lipoferum,Azospirillum
266,Paracoccus_denitrificans,Paracoccus
33052,Sphingopyxis_terrae,Sphingopyxis
358,Agrobacterium_tumefaciens,Agrobacterium
381,Mesorhizobium_loti,Mesorhizobium
382,Sinorhizobium_meliloti,Sinorhizobium
405,Methylobacillus_flagellatus,Methylobacillus
82367,Paracoccus_pantotrophus,Paracoccus
478,Moraxella_nonliquefaciens,Moraxella
480,Moraxella_catarrhalis,Moraxella
529,Ochrobactrum_anthropi,Ochrobactrum
542,Zymomonas_mobilis,Zymomonas
508460,Cloacibacillus_evryensis,Cloacibacillus
66229,Komagataeibacter_intermedius,Komagataeibacter
754477,Methylophaga_frappieri,Methylophaga
885581,Desulfosporosinus_acidiphilus,Desulfosporosinus
853,Faecalibacterium_prausnitzii,Faecalibacterium
901,Desulfovibrio_piger,Desulfovibrio
1063,Rhodobacter_sphaeroides,Rhodobacter
33883,Microbacterium_arborescens,Microbacterium
33959,Lactobacillus_johnsonii,Lactobacillus
33996,Gluconacetobacter_diazotrophicus,Gluconacetobacter
1231,Nitrosospira_multiformis,Nitrosospira
34003,Paracoccus_aminophilus,Paracoccus
1265,Ruminococcus_flavefaciens,Ruminococcus
34038,Rahnella_aquatilis,Rahnella
1276,Kytococcus_sedentarius,Kytococcus
66821,Sulfurospirillum_multivorans,Sulfurospirillum
1302,Streptococcus_gordonii,Streptococcus
1305,Streptococcus_sanguinis,Streptococcus
1307,Streptococcus_suis,Streptococcus
1308,Streptococcus_thermophilus,Streptococcus
1309,Streptococcus_mutans,Streptococcus
1333,Streptococcus_criceti,Streptococcus
1338,Streptococcus_intermedius,Streptococcus
83263,Aminobacter_aminovorans,Aminobacter
1351,Enterococcus_faecalis,Enterococcus
1352,Enterococcus_faecium,Enterococcus
1354,Enterococcus_hirae,Enterococcus
1358,Lactococcus_lactis,Lactococcus
1363,Lactococcus_garvieae,Lactococcus
1364,Lactococcus_piscium,Lactococcus
1398,Bacillus_coagulans,Bacillus
1501,Clostridium_pasteurianum,Clostridium
1510,[Clostridium]_stercorarium,[Clostridium]
1521,[Clostridium]_cellulolyticum,[Clostridium]
1565,Desulfotomaculum_nigrificans,Desulfotomaculum
1579,Lactobacillus_acidophilus,Lactobacillus
1580,Lactobacillus_brevis,Lactobacillus
1582,Lactobacillus_casei,Lactobacillus
1584,Lactobacillus_delbrueckii,Lactobacillus
1596,Lactobacillus_gasseri,Lactobacillus
1598,Lactobacillus_reuteri,Lactobacillus
1599,Lactobacillus_sakei,Lactobacillus
1613,Lactobacillus_fermentum,Lactobacillus
1624,Lactobacillus_salivarius,Lactobacillus
1639,Listeria_monocytogenes,Listeria
1725,Corynebacterium_xerosis,Corynebacterium
1829,Rhodococcus_rhodochrous,Rhodococcus
214853,Anaerofustis_stercorihominis,Anaerofustis
1427356,Hyphomicrobium_nitrativorans,Hyphomicrobium
2033,Microbacterium_testaceum,Microbacterium
395387,Curtobacterium_ammoniigenes,Curtobacterium
133453,Caldilinea_aerophila,Caldilinea
51669,Tetragenococcus_halophilus,Tetragenococcus
330214,Nitrospira_defluvii,Nitrospira
2734,Symbiobacterium_thermophilum,Symbiobacterium
2736,Verrucomicrobium_spinosum,Verrucomicrobium
2751,Carnobacterium_maltaromaticum,Carnobacterium
35701,Heliobacterium_modesticaldum,Heliobacterium
314275,Alteromonas_mediterranea,Alteromonas
199592,Microbacterium_paraoxydans,Microbacterium
68892,Streptococcus_infantis,Streptococcus
68909,Deinococcus_geothermalis,Deinococcus
314722,Pseudoxanthomonas_suwonensis,Pseudoxanthomonas
134537,Paraburkholderia_fungorum,Paraburkholderia
102134,Desulfotomaculum_gibsoniae,Desulfotomaculum
266123,Castellaniella_caeni,Castellaniella
36808,Corynebacterium_bovis,Corynebacterium
36821,Gordonia_amarae,Gordonia
36861,Thiobacillus_denitrificans,Thiobacillus
315405,Streptococcus_gallolyticus,Streptococcus
692370,Altererythrobacter_dongtanensis,Altererythrobacter
53412,Pseudomonas_resinovorans,Pseudomonas
102684,Streptococcus_infantarius,Streptococcus
332249,Truepera_radiovictrix,Truepera
447217,Anaeromyxobacter_sp._K,Anaeromyxobacter
365349,Pelosinus_fermentans,Pelosinus
37734,Enterococcus_casseliflavus,Enterococcus
349106,Psychrobacter_sp._PRwf-1,Psychrobacter
300028,Rhodococcus_triatomae,Rhodococcus
37916,Mycobacterium_chlorophenolicum,Mycobacterium
529705,Sphingomonas_changbaiensis,Sphingomonas
103816,Rhodococcus_pyridinivorans,Rhodococcus
38286,Corynebacterium_afermentans,Corynebacterium
38289,Corynebacterium_jeikeium,Corynebacterium
38301,Corynebacterium_minutissimum,Corynebacterium
38310,Rhodococcus_coprophilus,Rhodococcus
267818,Lactobacillus_kefiranofaciens,Lactobacillus
55148,Deinococcus_proteolyticus,Deinococcus
104336,Microbacterium_foliorum,Microbacterium
121039,Ferrimicrobium_acidiphilum,Ferrimicrobium
55583,Dehalobacter_restrictus,Dehalobacter
137730,Facklamia_ignava,Facklamia
88688,Caulobacter_segnis,Caulobacter
334543,Psychrobacter_arcticus,Psychrobacter
39791,Corynebacterium_glucuronolyticum,Corynebacterium
203699,Derxia_gummosa,Derxia
318683,Gluconobacter_albidus,Gluconobacter
531813,Pelagibacterium_halotolerans,Pelagibacterium
400772,Microbacterium_ginsengisoli,Microbacterium
499229,Tepidanaerobacter_acetatoxydans,Tepidanaerobacter
1121830,Fodinicurvata_fenggangensis,Fodinicurvata
40681,Sphingomonas_asaccharolytica,Sphingomonas
40682,Sphingomonas_mali,Sphingomonas
40683,Sphingomonas_pruni,Sphingomonas
90241,Moraxella_lincolnii,Moraxella
57666,Sulfurospirillum_arcachonense,Sulfurospirillum
74319,Hyphomonas_polymorpha,Hyphomonas
90730,Desulfosarcina_cetonica,Desulfosarcina
1123067,Rubellimicrobium_mesophilum,Rubellimicrobium
1156433,Streptococcus_sp._I-P16,Streptococcus
665118,Devosia_enhydra,Devosia
304901,Actinospica_robiniae,Actinospica
272239,Pseudoclavibacter_bifida,Pseudoclavibacter
59310,Streptococcus_macedonicus,Streptococcus
452623,Pseudoclavibacter_soli,Pseudoclavibacter
157838,Bacillus_shackletonii,Bacillus
223392,Rhodococcus_gordoniae,Rhodococcus
288965,[Clostridium]_clariflavum,[Clostridium]
43263,Pseudomonas_alcaligenes,Pseudomonas
600645,Aeromonas_piscicola,Aeromonas
469614,Erysipelotrichaceae_bacterium_6_1_45,Erysipelotrichaceae
256701,Glutamicibacter_arilaitensis,Glutamicibacter
240427,Lactobacillus_paracollinoides,Lactobacillus
76636,Mycetocola_saprophilus,Mycetocola
93064,Sphingomonas_koreensis,Sphingomonas
404589,Anaeromyxobacter_sp._Fw109-5,Anaeromyxobacter
44250,Paenibacillus_alvei,Paenibacillus
109790,Lactobacillus_jensenii,Lactobacillus
519472,Vagococcus_teuberi,Vagococcus
536018,Mesorhizobium_australicum,Mesorhizobium
454171,Chthonomonas_calidirosea,Chthonomonas
28447,Clavibacter_michiganensis,Clavibacter
94009,Thermicanus_aegyptius,Thermicanus
94254,Dyadobacter_fermentans,Dyadobacter
29362,[Clostridium]_papyrosolvens,[Clostridium]
29385,Staphylococcus_saprophyticus,Staphylococcus
29449,Rhizobium_etli,Rhizobium
717609,Caldicellulosiruptor_obsidiansis,Caldicellulosiruptor
160791,Sphingomonas_wittichii,Sphingomonas
160799,Paenibacillus_borealis,Paenibacillus
1078480,Haemophilus_sputorum,Haemophilus
79263,Paenibacillus_chitinolyticus,Paenibacillus
407019,Sphingomonas_astaxanthinifaciens,Sphingomonas
210512,Sandarakinorhabdus_limnophila,Sandarakinorhabdus
702113,Novosphingobium_sp._PP1Y,Novosphingobium
79880,Bacillus_clausii,Bacillus
79883,Bacillus_horikoshii,Bacillus
571800,Psychrobacter_sp._G,Psychrobacter
113107,Streptococcus_australis,Streptococcus
162426,Microbacterium_hominis,Microbacterium
47770,Lactobacillus_crispatus,Lactobacillus
1079994,Leucobacter_chromiiresistens,Leucobacter
293890,Agromyces_subbeticus,Agromyces
97478,Lactobacillus_mucosae,Lactobacillus
392409,Sphingomonas_jaspsi,Sphingomonas
81467,Aminobacterium_mobile,Aminobacterium
376733,Paracoccus_halophilus,Paracoccus
311230,Paraburkholderia_terrae,Paraburkholderia
81857,Lactobacillus_selangorensis,Lactobacillus
9,Buchnera_aphidicola,Buchnera
65553,Sulfurospirillum_deleyianum,Sulfurospirillum
19,Pelobacter_carbinolicus,Pelobacter
56,Sorangium_cellulosum,Sorangium
103,Flectobacillus_major,Flectobacillus
119,Rubinisphaera_brasiliensis,Rubinisphaera
158,Treponema_denticola,Treponema
167,Treponema_succinifaciens,Treponema
229549,Streptococcus_minor,Streptococcus
183,Leptonema_illini,Leptonema
199,Campylobacter_concisus,Campylobacter
204,Campylobacter_showae,Campylobacter
210,Helicobacter_pylori,Helicobacter
33010,Cutibacterium_avidum,Cutibacterium
245,Flavobacterium_aquatile,Flavobacterium
249,Terrimonas_ferruginea,Terrimonas
256,Myroides_odoratus,Myroides
33029,Anaerococcus_hydrogenalis,Anaerococcus
33030,Peptoniphilus_indolicus,Peptoniphilus
33031,Peptoniphilus_lacrimalis,Peptoniphilus
33032,Anaerococcus_lactolyticus,Anaerococcus
33034,Anaerococcus_prevotii,Anaerococcus
33036,Anaerococcus_tetradius,Anaerococcus
33037,Anaerococcus_vaginalis,Anaerococcus
33059,Acidithiobacillus_caldus,Acidithiobacillus
33072,Gloeobacter_violaceus,Gloeobacter
33075,Acidobacterium_capsulatum,Acidobacterium
339,Xanthomonas_campestris,Xanthomonas
347,Xanthomonas_oryzae,Xanthomonas
491921,Megamonas_rupellensis,Megamonas
421,Methylomonas_methanica,Methylomonas
426421,Sediminibacterium_salmoneum,Sediminibacterium
449,Legionella_hackeliae,Legionella
453,Legionella_feeleii,Legionella
483,Neisseria_cinerea,Neisseria
486,Neisseria_lactamica,Neisseria
487,Neisseria_meningitidis,Neisseria
495,Neisseria_elongata,Neisseria
496,Neisseria_macacae,Neisseria
500,Thermomicrobium_roseum,Thermomicrobium
539,Eikenella_corrodens,Eikenella
164393,Lactobacillus_fuchuensis,Lactobacillus
983706,Bifidobacterium_reuteri,Bifidobacterium
669,Vibrio_harveyi,Vibrio
674,Vibrio_mimicus,Vibrio
66228,Actinomyces_europaeus,Actinomyces
714,Aggregatibacter_actinomycetemcomitans,Aggregatibacter
726,Haemophilus_haemolyticus,Haemophilus
729,Haemophilus_parainfluenzae,Haemophilus
732,Aggregatibacter_aphrophilus,Aggregatibacter
736,Haemophilus_paraphrohaemolyticus,Haemophilus
739,Aggregatibacter_segnis,Aggregatibacter
754476,Methylophaga_nitratireducenticrescens,Methylophaga
824,Campylobacter_gracilis,Campylobacter
827,Campylobacter_ureolyticus,Campylobacter
831,Butyrivibrio_fibrisolvens,Butyrivibrio
833,Fibrobacter_succinogenes,Fibrobacter
863,Syntrophomonas_wolfei,Syntrophomonas
876,Desulfovibrio_desulfuricans,Desulfovibrio
879,Desulfovibrio_gigas,Desulfovibrio
881,Desulfovibrio_vulgaris,Desulfovibrio
891,Desulfuromonas_acetoxidans,Desulfuromonas
894,Desulfobulbus_propionicus,Desulfobulbus
897,Desulfococcus_multivorans,Desulfococcus
899,Desulfomicrobium_baculatum,Desulfomicrobium
905,Acidaminococcus_fermentans,Acidaminococcus
915,Nitrosomonas_europaea,Nitrosomonas
931,Thiobacillus_thioparus,Thiobacillus
959,Bdellovibrio_bacteriovorus,Bdellovibrio
989,Marinilabilia_salmonicolor,Marinilabilia
1006,Marivirga_tractuosa,Marivirga
1017,Capnocytophaga_gingivalis,Capnocytophaga
1018,Capnocytophaga_ochracea,Capnocytophaga
33871,Coriobacterium_glomerans,Coriobacterium
33905,Bifidobacterium_thermophilum,Bifidobacterium
33910,Amycolatopsis_mediterranei,Amycolatopsis
33932,Bacillus_cohnii,Bacillus
33954,Clostridium_magnum,Clostridium
33968,Leuconostoc_pseudomesenteroides,Leuconostoc
34004,Paracoccus_aminovorans,Paracoccus
1249,Weissella_paramesenteroides,Weissella
1251,Leuconostoc_fallax,Leuconostoc
165096,Weissella_koreensis,Weissella
1261,Peptostreptococcus_anaerobius,Peptostreptococcus
1264,Ruminococcus_albus,Ruminococcus
1299,Deinococcus_radiodurans,Deinococcus
1323,Faecalicoccus_pleomorphus,Faecalicoccus
1335,Streptococcus_equinus,Streptococcus
1341,Streptococcus_ratti,Streptococcus
591197,Ignavibacterium_album,Ignavibacterium
1376,Aerococcus_urinae,Aerococcus
1377,Aerococcus_viridans,Aerococcus
1382,Atopobium_parvulum,Atopobium
1383,Atopobium_rimae,Atopobium
1401,Paenibacillus_lautus,Paenibacillus
1409,Bacillus_sp.,Bacillus
1455,Bacillus_badius,Bacillus
1462,Geobacillus_kaustophilus,Geobacillus
1464,Paenibacillus_larvae,Paenibacillus
1472,Paenibacillus_pabuli,Paenibacillus
1482,Virgibacillus_halodenitrificans,Virgibacillus
1495,Clostridium_cylindrosporum,Clostridium
1503,[Clostridium]_purinilyticum,[Clostridium]
1504,Clostridium_septicum,Clostridium
1519,Clostridium_tyrobutyricum,Clostridium
755172,Peptoniphilus_coxii,Peptoniphilus
1525,Moorella_thermoacetica,Moorella
1535,[Clostridium]_leptum,[Clostridium]
1549,[Clostridium]_sporosphaeroides,[Clostridium]
1583,Weissella_confusa,Weissella
1587,Lactobacillus_helveticus,Lactobacillus
1588,Lactobacillus_hilgardii,Lactobacillus
1589,Lactobacillus_pentosus,Lactobacillus
1597,Lactobacillus_paracasei,Lactobacillus
1600,Lactobacillus_acetotolerans,Lactobacillus
1601,Lactobacillus_agilis,Lactobacillus
1606,Lactobacillus_aviarius,Lactobacillus
1610,Lactobacillus_coryniformis,Lactobacillus
1614,Lactobacillus_fructivorans,Lactobacillus
1616,Weissella_kandleri,Weissella
1620,Weissella_minor,Weissella
525917,Thiothrix_lacustris,Thiothrix
1622,Lactobacillus_murinus,Lactobacillus
1623,Lactobacillus_ruminis,Lactobacillus
1629,Weissella_viridescens,Weissella
1631,Fructobacillus_fructosus,Fructobacillus
1633,Lactobacillus_vaginalis,Lactobacillus
1646,Renibacterium_salmoninarum,Renibacterium
1655,Actinomyces_naeslundii,Actinomyces
1659,Actinomyces_israelii,Actinomyces
1660,Actinomyces_odontolyticus,Actinomyces
1665,Arthrobacter_globiformis,Arthrobacter
231053,Saccharibacter_floricola,Saccharibacter
1681,Bifidobacterium_bifidum,Bifidobacterium
1684,Bifidobacterium_asteroides,Bifidobacterium
1685,Bifidobacterium_breve,Bifidobacterium
1686,Bifidobacterium_catenulatum,Bifidobacterium
1687,Bifidobacterium_coryneforme,Bifidobacterium
1688,Bifidobacterium_cuniculi,Bifidobacterium
1692,Bifidobacterium_magnum,Bifidobacterium
1693,Bifidobacterium_minimum,Bifidobacterium
198312,Porphyrobacter_sanguineus,Porphyrobacter
1748,Acidipropionibacterium_acidipropionici,Acidipropionibacterium
1750,Pseudopropionibacterium_propionicum,Pseudopropionibacterium
1843,Nocardioides_jensenii,Nocardioides
1861,Geodermatophilus_obscurus,Geodermatophilus
264027,Algoriphagus_marincola,Algoriphagus
1888,Streptomyces_albus,Streptomyces
427918,Nitriliruptor_alkaliphilus,Nitriliruptor
1963,Streptomyces_olivochromogenes,Streptomyces
2041,Aeromicrobium_erythreum,Aeromicrobium
2045,Pimelobacter_simplex,Pimelobacter
2051,Mobiluncus_curtisii,Mobiluncus
2052,Mobiluncus_mulieris,Mobiluncus
2057,Sphaerobacter_thermophilus,Sphaerobacter
231447,Desulfobulbus_japonicus,Desulfobulbus
591962,Aeromonas_fluvialis,Aeromonas
2145,Spiroplasma_taiwanense,Spiroplasma
2296,Desulfobacterium_autotrophicum,Desulfobacterium
264463,Anaerosporobacter_mobilis,Anaerosporobacter
2350,Haliscomenobacter_hydrossis,Haliscomenobacter
2358,Desulfomonile_tiedjei,Desulfomonile
2374,Acetonema_longum,Acetonema
264641,Desulfitibacter_alkalitolerans,Desulfitibacter
264697,Bacillus_muralis,Bacillus
100886,Catenibacterium_mitsuokai,Catenibacterium
166485,Caminicella_sporogenes,Caminicella
166501,Thermobaculum_terrenum,Thermobaculum
658062,Candidatus_Koribacter_versatilis,Candidatus
395922,Coraliomargarita_akajimensis,Coraliomargarita
2718,Cardiobacterium_hominis,Cardiobacterium
2724,Hirschia_baltica,Hirschia
2748,Carnobacterium_divergens,Carnobacterium
35518,[Eubacterium]_nodatum,[Eubacterium]
35519,Mogibacterium_timidum,Mogibacterium
35554,Geobacter_sulfurreducens,Geobacter
363265,Prevotella_stercorea,Prevotella
363277,Ktedonobacter_racemifer,Ktedonobacter
35623,Acholeplasma_oculi,Acholeplasma
35751,Sporichthya_polymorpha,Sporichthya
35833,Bilophila_wadsworthia,Bilophila
35839,Holophaga_foetida,Holophaga
658659,Erysipelotrichaceae_bacterium_3_1_53,Erysipelotrichaceae
658657,Erysipelotrichaceae_bacterium_21_3,Erysipelotrichaceae
363832,Solirubrobacter_soli,Solirubrobacter
233055,Desulfitobacterium_dichloroeliminans,Desulfitobacterium
134849,Cryptosporangium_aurantiacum,Cryptosporangium
102148,Solobacterium_moorei,Solobacterium
36740,Dermabacter_hominis,Dermabacter
266128,Stenotrophomonas_koreensis,Stenotrophomonas
135082,Selenomonas_infelix,Selenomonas
135083,Selenomonas_noxia,Selenomonas
397278,Marmoricola_aequoreus,Marmoricola
36847,[Clostridium]_neopropionicum,[Clostridium]
36849,Oxobacter_pfennigii,Oxobacter
167964,Anaerolinea_thermophila,Anaerolinea
69710,Treponema_vincentii,Treponema
626937,Christensenella_minuta,Christensenella
626938,Succinatimonas_hippei,Succinatimonas
332095,Dethiosulfatibacter_aminovorans,Dethiosulfatibacter
332163,Candidatus_Solibacter_usitatus,Candidatus
37372,Helicobacter_bilis,Helicobacter
299567,Adhaeribacter_aquaticus,Adhaeribacter
398037,Segetibacter_koreensis,Segetibacter
37637,Corynebacterium_pseudodiphtheriticum,Corynebacterium
365489,Dyadobacter_beijingensis,Dyadobacter
37923,Kocuria_kristinae,Kocuria
70856,Aeromonas_popoffii,Aeromonas
398555,Lactobacillus_composti,Lactobacillus
38293,Photobacterium_damselae,Photobacterium
38304,Corynebacterium_tuberculostearicum,Corynebacterium
38308,Gluconobacter_frateurii,Gluconobacter
1316444,Blattabacterium_sp._(Nauphoeta_cinerea),Blattabacterium
38875,Bacillus_oleronius,Bacillus
202747,Sulfurimonas_autotrophica,Sulfurimonas
366602,Caulobacter_sp._K31,Caulobacter
38986,Acholeplasma_palmae,Acholeplasma
72000,Kocuria_rhizophila,Kocuria
137591,Weissella_cibaria,Weissella
498055,Arenimonas_oryziterrae,Arenimonas
137732,Granulicatella_elegans,Granulicatella
